archive,member,path,bytes,sha256
archives/app_type_files.zip,20260407 AMR 20260325 SAT Riehen new configuration LUM_AKI_tmp.app,app/20260407 AMR 20260325 SAT Riehen new configuration LUM_AKI_tmp.app,168422,d055333098d1d056bead76806e07d46308ce501ea2408cdcd96d0a18ca7c6de6
archives/app_type_files.zip,Orig config20260415_aki_test.app,app/Orig config20260415_aki_test.app,170052,e4af7fe4333a2c3d41cde6d263e73cfa0218bd424e740c8488f8e1cab6fde755
archives/app_type_files.zip,Suzuki-Miyaura-automation.app,app/Suzuki-Miyaura-automation.app,75767,87bf2a7b00fdb5f43403faa814c076e727b42a75614abd2cb3f840a96fd3dc0e
archives/app_type_files.zip,config20260408_aki.app,app/config20260408_aki.app,167587,d5a28b93d699401ce1a3b88106551f4e2f9945c8cebfc51faed09aafd2fa6be8
archives/app_type_files.zip,config20260413_aki.app,app/config20260413_aki.app,169690,a3222fdaf50b8332f92d4b4e9d5abfbe664da18559fddfe59dbaec696a108ef2
archives/app_type_files.zip,config20260413_aki_tmp.app,app/config20260413_aki_tmp.app,168748,6ab7e544b5bbc509819f9a5528504f452996a35069aa588969c3b217cd60d07e
archives/app_type_files.zip,config20260415_aki.app,app/config20260415_aki.app,171424,4270cd75747c60aa6d074e4c83b8cbf00331bb12cefb20f643b74f0ba2dec5d6
archives/app_type_files.zip,config20260527_aki.app,app/config20260527_aki.app,171231,c11c1fb0300cdee6b00adcedefd08b30b28fef2c93934eb26245c088aee0d904
archives/app_type_files.zip,config20260528_aki.app,app/config20260528_aki.app,169635,1b896a80e3531c8663ff283245f6b5730d22822c518b43db1a7b141d0370b2a5
archives/app_type_files.zip,config20260528_aki_tmp.app,app/config20260528_aki_tmp.app,169390,11ac9aa485756d018e69e85da013f5168f1d92bddf2c38195ed7ebd600a8ffa4
archives/app_type_files.zip,config20260529.app,app/config20260529.app,170594,9b14930f05a2dbba1b90a33ba520cc6755236f1a9ae30e1a77809982ddd60f18
archives/app_type_files.zip,config20260609.app,app/config20260609.app,172912,3bbf27feafd03fb650b475a1c0786c06b6eb21221d787e1545f6aa65ffffae36
archives/app_type_files.zip,config20260609_temp.app,app/config20260609_temp.app,37906,92ac195062d74cbc34fe8800a119f7c995f5555073b88edcf8327a1be3ae707e
archives/app_type_files.zip,config20260623.app,app/config20260623.app,172912,cac8d4066eaaed7ef814e47ce8c2f43cc5b687fc34f02ccc8a50d72c11e93018
archives/app_type_files.zip,config20260706.app,app/config20260706.app,173043,9462cea35641594e4820d913d737c1a95b44a7ee00f637623838de7473c50953
archives/app_type_files.zip,config20260715.app,app/config20260715.app,173489,fd5e4fdaf3e4fe6c1572908cac9829be3e1e9aca066b3d40bde2ccb60ac76e5b
archives/app_type_files.zip,config20260715_polymerization.app,app/config20260715_polymerization.app,181771,9c71376c2ebf1870c95398766532974f06514498e101f371bc9ad19bb0eb11f7
archives/app_type_files.zip,config20260716_congif_changed.app,app/config20260716_congif_changed.app,85345,75deb577cb55dd0c7aa289790c591157bccb3342e77af72b3553f7ca1f3cd4df
archives/app_type_files.zip,config20260716_congif_changed_2_tmp.app,app/config20260716_congif_changed_2_tmp.app,82674,3f2179961af8e3dec356522a055f0d2fd774038c29cadfb3186c0f9cbf4628f8
archives/app_type_files.zip,config20260717.app,app/config20260717.app,54586,19cab3e437479e317ff2b6d481f3876acf1951497cf22c55345e7ba0412713aa
archives/app_type_files.zip,config20260717_test_AMR_settings.app,app/config20260717_test_AMR_settings.app,82641,fbe2d4c246d9e69d409583f0b0c462ed96cdac1d2313c1bd2e34caec04930733
archives/app_type_files.zip,config20260718.app,app/config20260718.app,57441,806d8a4217cb273b28e03fc168751e27a2c2d156f0d01cb605d25717fab30841
archives/app_type_files.zip,config20260720.app,app/config20260720.app,60159,b6a1f035613a6212fd674b357a7923c0cedcab189ae0b8c8a138f32cf1dd7361
archives/app_type_files.zip,config20260721.app,app/config20260721.app,60170,84e2df1da9f5d0b26f6254a301bc23329d76a4e1a61cae55228b6e35fb140439
archives/app_type_files.zip,config20260722.app,app/config20260722.app,62271,109ab637394d9db141fc5fd34e3a3377720b2daf925c65132023a77824751ac9
archives/app_type_files.zip,config20260723_GPC_fixed.app,app/config20260723_GPC_fixed.app,62267,177bf0368520a8b8809d5e1de4b65e4c4c7182df91cf560aca89446e0c537293
archives/app_type_files.zip,config20260724.app,app/config20260724.app,68731,fd766bff126448a192c85f43724a3456830ffa3cb0611e1ae7291414ef98ca97
archives/app_type_files.zip,config20260727.app,app/config20260727.app,69005,88b8f87ffc98b5f6fcbbfd1645b8ea39969e69ecf0928636bd553e7a2880a82e
archives/app_type_files.zip,config20260728.app,app/config20260728.app,70882,35f617a4d66e4586360f2996653172d3680c2013b7651fffb7c31cebc408bd34
archives/app_type_files.zip,config20260729.app,app/config20260729.app,71578,c8102be54f188e4f44a835458a9490947c09ddccbc536a79b9761db8d4d515aa
archives/app_type_files.zip,config20260730.app,app/config20260730.app,72031,1c8b00f2a61b760a7acbd8a68acaa5ae0c314b244cba61276aff5d49bb206875
archives/app_type_files.zip,config20260730_sampling.app,app/config20260730_sampling.app,69284,5ff496c173f2488dbd9e23fc2d2ac2337c79156a0cbb7af5e67eb2ae93436566
archives/app_type_files.zip,config20260730_updated.app,app/config20260730_updated.app,66518,bebb9601e776cac5d314d318d7341f39f2d71c604ddc8e014d05a71c0b53bee3
archives/app_type_files.zip,config20260803.app,app/config20260803.app,68805,0873162c0faf1cbbf0cbaff8fc63f4b41b0b4b0325f3c9ce747854d7918d113c
archives/app_type_files.zip,config20260804.app,app/config20260804.app,70301,f4b3781d7474b0d5ee2f7abb4f5284499762bd353815250b37e4daef38b0dd61
archives/app_type_files.zip,config20260805.app,app/config20260805.app,72635,1fa901025a17b058c6f9be608b427fdadc556c3a6ee239b8e5b9f9d7a43ce747
archives/app_type_files.zip,config20260806.app,app/config20260806.app,74428,03815f960fc17892a7cd92024caff5043325154b2c398d34944a1e24102f9e9e
archives/app_type_files.zip,config20260807.app,app/config20260807.app,75328,809aa306ad6bc25dae5fa9432a28c2c3aa4fe653eb24c58c970ad4cc6798d223
archives/app_type_files.zip,config20260807_2nd.app,app/config20260807_2nd.app,77194,2caf83c1fd2c3dae9162890eaf523752e19edcef073a798ad106ac296fd2452c
archives/app_type_files.zip,config20260814.app,app/config20260814.app,78879,9e7c878811b6826e4e65c9d447d2da1920be4f4d7e08a83b1f470c4b517ebb58
archives/app_type_files.zip,config20260817.app,app/config20260817.app,79408,8c867b804cf9a809bd351f08cda95d26edbe07ce492ef67b8fd3be614d00f8f1
archives/app_type_files.zip,config20260818.app,app/config20260818.app,82998,7f1999d7aa1da7f872f5f2b1da39d14c2c59acbd9702d6d39770c0d587a1d15f
archives/app_type_files.zip,config20260819.app,app/config20260819.app,86184,f2eab57e21171ade9481796dc8854f799c83ed47c02a6d634e7d3ac1b8b34384
archives/app_type_files.zip,config20260819_no_evap.app,app/config20260819_no_evap.app,83574,aa7ee8e9739d5f8782c5a0b3756af9cc5068167d75baa91183b301cc4a780171
archives/app_type_files.zip,config20260820.app,app/config20260820.app,83452,a4c5d0c742b00f832a5a16f2250fe2998e4d35a4e1193410e1a5ffaca91357b6
archives/app_type_files.zip,config20260821.app,app/config20260821.app,92358,3b279de33165770026b904c8bdc9b2c4d0c782b794eea88b723b2e69af05cec1
archives/app_type_files.zip,config20260821_refactoring.app,app/config20260821_refactoring.app,80770,0df39e4fb66b9c9777f01683fe8361da7382823ea53d6521804b904f56f90d5c
archives/app_type_files.zip,config20260823.app,app/config20260823.app,80474,5f88887796092fa60c43cc0aa92f3921544074c6515e75e9a32572a28c62b269
archives/app_type_files.zip,config20260824.app,app/config20260824.app,81095,8ab3171e8326e878a337c798a4bfc5a01e4fe1299d6c16804b41c24879bad377
archives/app_type_files.zip,config20260825.app,app/config20260825.app,84114,3f51cc7ecfd7e8046c3337e3ba89ec884ba3ed2fe9209e9da10001fbf7bcd73b
archives/app_type_files.zip,config20260826.app,app/config20260826.app,84669,db4f9bccb507fa4a6172d73a74b39ea4690f134af90ac0f48b159b63f1707201
archives/app_type_files.zip,config20260827.app,app/config20260827.app,76630,a010268ebd104f7b2c5551071fd69a063b416ce5d6d9e7c8d1b937d978bae433
archives/app_type_files.zip,config20260828.app,app/config20260828.app,76705,ccdb81f2cb32a6f9e2b1857e102e76752b37b0cf8527577d672880f0500e81cd
archives/app_type_files.zip,config20260829.app,app/config20260829.app,101562,9f5ff3828eaad54deb350bce0d6ea87101bc1f90b8e64e6b0b9789010a0ca078
archives/app_type_files.zip,config20260831.app,app/config20260831.app,104498,9f71ee4407ee33bf026b37906803efde2d5ec487931a9ee4e88b7222a3603d79
archives/app_type_files.zip,config20260901.app,app/config20260901.app,107773,678b2681861202059d30093e7e5f5e2abb8662ce1c08e717b4346f4c6194cf42
archives/app_type_files.zip,config20260902.app,app/config20260902.app,107772,6970f1b7c9669661064f0a8dabfcfc9672cc2f39e0dcf402f07935a1641ae71e
archives/app_type_files.zip,config20260902_2.app,app/config20260902_2.app,106058,bff80fc36638d81a64e0f09cb1c9d0a53b0943943dea3b555bfe8afa74acc416
archives/app_type_files.zip,config20260902_3.app,app/config20260902_3.app,106057,d3a74958b4addda00da0e2377ee5a0e19da56747b362f99037f1d399027af42a
archives/app_type_files.zip,config20260903.app,app/config20260903.app,108490,f8c9eca73ef91b333e42eded07851b2a0c226aec289a6501d3bd1a0dd633ccb7
archives/app_type_files.zip,config20260903_2.app,app/config20260903_2.app,110037,22d098d89243f392ae9431d0e031827fe946aef19ffd122522f841caa16f557e
archives/app_type_files.zip,config20260903_3.app,app/config20260903_3.app,110095,2f84c6686fd447cdfad30ebc4846216e74077e71588371233c8ce2ce897392bb
archives/app_type_files.zip,config20260904.app,app/config20260904.app,111053,ee54447131a943bf6c4b023c807de00fa8ea5d67ff9663e7b6fdb91a429d743c
archives/app_type_files.zip,config20260907.app,app/config20260907.app,111960,fb8fb65a7287fb9fce18ad585a94c1539ee944db8f3ff63f1964d35ab2c0f1bc
archives/app_type_files.zip,config20260907_sample_loop_check.app,app/config20260907_sample_loop_check.app,111963,73031871be6f0a2d363a8d259ee9b061ed1decdd506ae9960aebcc098c47744a
archives/app_type_files.zip,config20260908_polymerization.app,app/config20260908_polymerization.app,120012,c63ee7c4d1e56ed5710923805be01178dfa1b46f32edf14e4b4fa34275e5fa50
archives/app_type_files.zip,config20260908_sample_loop_check.app,app/config20260908_sample_loop_check.app,111689,03951582bdacb5da0419443453d43ad854fa58815007d1fb79a0f380c2908e19
archives/app_type_files.zip,config20260909_polymerization.app,app/config20260909_polymerization.app,120876,757854f4fc7c33ce8c14b02003a97d78263c34e8c5154638bd1a0d8e3b1bbcf5
archives/asfp_type_files.zip,DynamicTransferVolumectrically.asfp,asfp/DynamicTransferVolumectrically.asfp,119744,470f99a9d26a4ab74a6adb69647c3bf1e4acf7b3cb76ebccf78f7b0a82fce9a2
archives/asfp_type_files.zip,DynamicTransferVolumectrically_2.asfp,asfp/DynamicTransferVolumectrically_2.asfp,130358,7610ed83e166f1379b24cda7e02471971e834bc2d6e92e2a8c0556613c8aa2f6
archives/asfp_type_files.zip,GetAspirateChunk.asfp,asfp/GetAspirateChunk.asfp,47434,9338bef0b631ed74af5a1ca81af59e66616ebf77a98413fe8f3f7256a26fda7d
archives/asfp_type_files.zip,GetAspirateChunkVol - Copy.asfp,asfp/GetAspirateChunkVol.asfp,8534,3171399810f0a2754332ae6dc376f3a5ed851f7a2ed9518410128b80493b8b33
archives/asfp_type_files.zip,GetAspirateChunkVol.asfp,asfp/GetAspirateChunkVol.asfp,8534,3171399810f0a2754332ae6dc376f3a5ed851f7a2ed9518410128b80493b8b33
archives/asfp_type_files.zip,GetAspirateChunkVol2.asfp,asfp/GetAspirateChunkVol2.asfp,8546,ba0fbcd3775b512dea30fc166e1ad2bcfd08c91f468d657acd1ffd4a5cb79181
archives/asfp_type_files.zip,LoadReagentVolume.asfp,asfp/LoadReagentVolume.asfp,18596,e54f5ef85a8e7353a71922bfe1c02bb836759d22f785edf28a27f165f4d5c392
