index,name,typeid,eventtype,id,edittime,inputs,outputs
13,Run GPC Analysis,Chemspeed.SATaskFunctionDefinition.1,,{5B8514D7-3FB1-4F0A-84D5-876C338F8605},1787709317,"[{""id"": ""{893FCE5E-D8A7-446C-A67A-DC7ACEEEA10D}"", ""name"": ""sample_zone"", ""variable_name"": ""sample_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}, {""id"": ""{5E9C078B-834C-479D-8E4A-64A777DD1FBB}"", ""name"": ""premix_bool"", ""variable_name"": ""premix_bool"", ""type"": ""bool"", ""array"": false, ""expression"": """"}, {""id"": ""{F73626B8-4CDF-48C5-B2EE-0667204EE809}"", ""name"": ""delay_bool"", ""variable_name"": ""delay_bool"", ""type"": ""bool"", ""array"": false, ""expression"": """"}, {""id"": ""{FDF4B9BE-FA64-42CF-8D53-471BB585AD5F}"", ""name"": ""priming_vol"", ""variable_name"": ""priming_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{E96935D1-7364-40BB-8DFB-D519982F6006}"", ""name"": ""sample_ID_txt"", ""variable_name"": ""sample_ID_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}]",[]
14,Run HPLC,Chemspeed.SATaskFunctionDefinition.1,,{AA2DF4A7-59CF-4B66-A38B-B3C906FA8C28},1787280441,[],[]
15,util Get Time Stamp,Chemspeed.SATaskFunctionDefinition.1,,{9648806D-EF39-459A-B982-7E2D18C96097},1787285521,[],"[{""id"": ""{FC11F7B8-8094-4B95-89BA-4F251742B9C3}"", ""name"": ""time_txt"", ""variable_name"": ""time_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}]"
16,Mix With Needle2,Chemspeed.SATaskFunctionDefinition.1,,{4C1C2CF5-B095-44FA-BB2A-35FEE1C11396},1787300351,"[{""id"": ""{FC5034B0-E62D-475B-A119-C56E21CA6121}"", ""name"": ""wash_bool"", ""variable_name"": ""wash_bool"", ""type"": ""bool"", ""array"": false, ""expression"": """"}, {""id"": ""{3280B9B7-BC5B-476F-9037-8164E704FD07}"", ""name"": ""mixing_zone"", ""variable_name"": ""mixing_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}, {""id"": ""{C429E5CF-FC64-4644-B5EA-7ACCA4774E18}"", ""name"": ""mixing_vol"", ""variable_name"": ""mixing_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}]",[]
17,Dilute and Mix,Chemspeed.SATaskFunctionDefinition.1,,{B76B23F3-951F-4764-970D-5A60DCAA2A52},1787300361,"[{""id"": ""{D365BC47-3630-42EF-B9EF-40BCBF95120E}"", ""name"": ""dilute_zone"", ""variable_name"": ""dilute_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}, {""id"": ""{C2D2E66D-F2F2-45E9-A975-3F12FD9BF351}"", ""name"": ""solvent_vol"", ""variable_name"": ""solvent_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{F8EB94A0-584D-4485-9F6A-5ECFCEF8B828}"", ""name"": ""sample_zone"", ""variable_name"": ""sample_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}, {""id"": ""{C1EC41E6-4350-4411-A604-DAEC4631D0A8}"", ""name"": ""sample_vol"", ""variable_name"": ""sample_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}]",[]
18,Priming 1st 2nd Syringe,Chemspeed.SATaskFunctionDefinition.1,,{A70085A1-71A1-498F-96F1-76AEB259D013},1787300152,"[{""id"": ""{EAF9FCFE-0D89-4E99-8901-09709709CAC3}"", ""name"": ""priming_vol"", ""variable_name"": ""priming_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}]",[]
19,Purge Reactor,Chemspeed.SATaskFunctionDefinition.1,,{3A15909C-84AF-4391-88AF-1C319503601A},1787299967,"[{""id"": ""{4EEED0D3-A866-428A-9F99-01F088DD1609}"", ""name"": ""reactor_zone"", ""variable_name"": ""reactor_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}]",[]
20,Test Reactor Valve,Chemspeed.SATaskFunctionDefinition.1,,{1B04DCA2-4E5A-4BBE-AC27-3B11B1A9FC2B},1787300388,"[{""id"": ""{B724E264-415A-4543-AAB7-A12F1CE96417}"", ""name"": ""reactor_zone"", ""variable_name"": ""reactor_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}]",[]
21,Validate Polymerization Zone,Chemspeed.SATaskFunctionDefinition.1,,{AF5AF007-3093-453F-8168-6A3AD46079DE},1787299957,"[{""id"": ""{5D037522-A8BA-4CFC-AC69-9B3365E82E99}"", ""name"": ""solvent_zone"", ""variable_name"": ""solvent_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}, {""id"": ""{6B71CD37-DF9B-448A-B4E9-8C03A226F16E}"", ""name"": ""reactor_zone"", ""variable_name"": ""reactor_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}, {""id"": ""{5874927B-5D14-4981-979C-F893734363B6}"", ""name"": ""monomer1_zone"", ""variable_name"": ""monomer1_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}, {""id"": ""{35CD7F9C-32F1-43D2-AE20-53E935DB5DF1}"", ""name"": ""initiator_zone"", ""variable_name"": ""initiator_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}]",[]
22,__main,Chemspeed.SATaskFunctionDefinition.1,,{E3E00281-F34D-43AF-92BE-D837004E0033},1787296408,[],[]
23,Prepare GPC Sample,Chemspeed.SATaskFunctionDefinition.1,,{6A0760DB-D60E-4D57-AF7E-8F7A8F489A66},1787299928,"[{""id"": ""{5ACF860F-9735-487A-8709-CCA3DC69060E}"", ""name"": ""sampling_vial_zone"", ""variable_name"": ""sampling_vial_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}, {""id"": ""{3ABE6121-051A-44D5-B827-579A7327980F}"", ""name"": ""sampling_vol"", ""variable_name"": ""sampling_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{E4C97E8C-A976-455D-B7C8-30C67C6DAFD0}"", ""name"": ""diluting_vol"", ""variable_name"": ""diluting_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{9E0917EE-F865-424B-8FAC-6032F58FDE99}"", ""name"": ""reactor_zone"", ""variable_name"": ""reactor_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}]",[]
24,Sample and Run GPC,Chemspeed.SATaskFunctionDefinition.1,,{DE6D061F-54C0-46C9-920E-17C2CBB56BA4},1787299905,"[{""id"": ""{4F3A4D0D-EE09-494B-ADE8-24035ACBBB83}"", ""name"": ""shaker_speed"", ""variable_name"": ""shaker_speed"", ""type"": ""angularspeed"", ""array"": false, ""expression"": """"}, {""id"": ""{3CBAAB69-BA5E-426E-B9E1-7C62CFACC56B}"", ""name"": ""reactor_zone"", ""variable_name"": ""reactor_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}, {""id"": ""{EA8C556B-6109-47A3-A92E-394FACF4A5FD}"", ""name"": ""sampling_vial_zone"", ""variable_name"": ""sampling_vial_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}]",[]
25,Import Csv Header,Chemspeed.SATaskFunctionDefinition.1,,{94FAEA9A-9C58-449F-BFFD-A51CCCB204C0},1787322939,"[{""id"": ""{5F36194F-0470-4EB9-AE76-DBDCA104C5B3}"", ""name"": ""header_row_idx_int"", ""variable_name"": ""header_row_idx_int"", ""type"": ""integer"", ""array"": false, ""expression"": """"}, {""id"": ""{11887762-B13E-4DEB-8D44-B1C8C1EA25B3}"", ""name"": ""filepath_txt"", ""variable_name"": ""filepath_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}]","[{""id"": ""{1B708990-A1BF-4943-80E7-1E311904069E}"", ""name"": ""header_txt_array"", ""variable_name"": ""header_txt_array"", ""type"": ""text"", ""array"": true, ""expression"": """"}]"
26,__GPC_SolventInject,Chemspeed.SATaskFunctionDefinition.1,,{3BD18F76-7DF9-4FE3-A1F3-2F68A54EE082},1787645041,"[{""id"": ""{3F26D9BB-A5AE-4FF1-A7BA-D82F5049845E}"", ""name"": ""priming_vol"", ""variable_name"": ""priming_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}]",[]
27,Run GPC Analysis XXX,Chemspeed.SATaskFunctionDefinition.1,,{6CDE63C2-F985-493C-9448-82EA027CA5CF},1787711012,"[{""id"": ""{893FCE5E-D8A7-446C-A67A-DC7ACEEEA10D}"", ""name"": ""sample_zone"", ""variable_name"": ""sample_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}, {""id"": ""{5E9C078B-834C-479D-8E4A-64A777DD1FBB}"", ""name"": ""premix_bool"", ""variable_name"": ""premix_bool"", ""type"": ""bool"", ""array"": false, ""expression"": """"}, {""id"": ""{F73626B8-4CDF-48C5-B2EE-0667204EE809}"", ""name"": ""delay_bool"", ""variable_name"": ""delay_bool"", ""type"": ""bool"", ""array"": false, ""expression"": """"}, {""id"": ""{FDF4B9BE-FA64-42CF-8D53-471BB585AD5F}"", ""name"": ""priming_vol"", ""variable_name"": ""priming_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{E96935D1-7364-40BB-8DFB-D519982F6006}"", ""name"": ""sample_ID_txt"", ""variable_name"": ""sample_ID_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}]",[]
28,Load Reagent Table,Chemspeed.SATaskFunctionDefinition.1,,{A1BC9BAA-12CC-45F9-9803-64C9C12D9E48},1788919390,"[{""id"": ""{80F47701-B40C-4E4D-A6D9-48F5798C8DA8}"", ""name"": ""column_idx"", ""variable_name"": ""column_idx"", ""type"": ""integer"", ""array"": false, ""expression"": """"}, {""id"": ""{ECE36230-CF4E-4280-90EB-EE9FF55FEEBB}"", ""name"": ""fullpath_txt"", ""variable_name"": ""fullpath_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}]","[{""id"": ""{A8D1F003-4CA0-4C87-9A92-2B2C4B8B2F64}"", ""name"": ""is_end"", ""variable_name"": ""is_end"", ""type"": ""bool"", ""array"": false, ""expression"": """"}, {""id"": ""{CB02979E-B686-4ACF-AEDF-B197E12E655E}"", ""name"": ""expid_array_txt"", ""variable_name"": ""expid_array_txt"", ""type"": ""text"", ""array"": true, ""expression"": """"}, {""id"": ""{6733A6D3-7164-41FD-8742-C1AC9E7DEE53}"", ""name"": ""reagent_array_vol"", ""variable_name"": ""reagent_array_vol"", ""type"": ""volume"", ""array"": true, ""expression"": """"}, {""id"": ""{474076E2-6427-40C3-8169-95339AE9970B}"", ""name"": ""reagent_name_txt"", ""variable_name"": ""reagent_name_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}]"
29,Load Reagent,Chemspeed.SATaskFunctionDefinition.1,,{F138C597-BFBF-458B-ADF0-309FE6509480},1787810605,"[{""id"": ""{44298B40-3D70-4CD0-A8D3-1D79E0757AE9}"", ""name"": ""fullpath_txt"", ""variable_name"": ""fullpath_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}, {""id"": ""{0D283473-71D3-469A-B33D-10E32CFF5AED}"", ""name"": ""reactor_zone"", ""variable_name"": ""reactor_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}]","[{""id"": ""{EC0BAE38-F8DD-4011-BC27-EF42581C2482}"", ""name"": ""error_msg_txt"", ""variable_name"": ""error_msg_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}, {""id"": ""{5E3576CF-CE64-4FA8-90A2-70773BBCE363}"", ""name"": ""error_txt"", ""variable_name"": ""error_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}]"
30,Dynamic Transfer Volumectrically,Chemspeed.SATaskFunctionDefinition.1,,{B3019C3B-CE4E-4BA9-904C-75694AEE3701},1788360628,"[{""id"": ""{6F025B26-C0C6-46D9-A93E-A58064AAA25A}"", ""name"": ""use_ch1"", ""variable_name"": ""use_ch1"", ""type"": ""bool"", ""array"": false, ""expression"": """"}, {""id"": ""{265CEE33-0719-44C0-90C5-2FA051432352}"", ""name"": ""array_vol"", ""variable_name"": ""array_vol"", ""type"": ""volume"", ""array"": true, ""expression"": """"}, {""id"": ""{96E8DA39-5E1D-4FEE-95E1-0F8150C2667E}"", ""name"": ""dest_zone"", ""variable_name"": ""dest_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}, {""id"": ""{22634A3F-7838-4CF8-B7CD-18E6E6C4BFDE}"", ""name"": ""airgap_vol"", ""variable_name"": ""airgap_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{AD5EE143-4811-483E-BEA9-FAFDD95685F1}"", ""name"": ""safe_vol"", ""variable_name"": ""safe_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{1E04DB51-ED39-49D2-BBF4-CE82E148753D}"", ""name"": ""source_zone"", ""variable_name"": ""source_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}, {""id"": ""{4D5EB357-C838-4306-A661-3D73F1FF7B1C}"", ""name"": ""extra_vol"", ""variable_name"": ""extra_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{697CCE7C-88E0-4DC1-8E09-3FB341BCAA40}"", ""name"": ""use_ch2"", ""variable_name"": ""use_ch2"", ""type"": ""bool"", ""array"": false, ""expression"": """"}, {""id"": ""{F76B97C0-F320-4EBA-A0D6-1EEDA4858E95}"", ""name"": ""use_ch3"", ""variable_name"": ""use_ch3"", ""type"": ""bool"", ""array"": false, ""expression"": """"}, {""id"": ""{9D5C8AC2-5C97-403F-A074-A9C53ED4852F}"", ""name"": ""max_chunk_size"", ""variable_name"": ""max_chunk_size"", ""type"": ""integer"", ""array"": false, ""expression"": """"}, {""id"": ""{ECC857DB-7836-487A-8384-A0772DA49721}"", ""name"": ""use_ch4"", ""variable_name"": ""use_ch4"", ""type"": ""bool"", ""array"": false, ""expression"": """"}, {""id"": ""{E425ACE0-5CC5-41D9-BBC0-CA9E11B7931B}"", ""name"": ""source_zone_txt"", ""variable_name"": ""source_zone_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}]",[]
31,Get Aspirate Chunk,Chemspeed.SATaskFunctionDefinition.1,,{92ED1B26-C340-4595-9E5F-52B7FFAD00D4},1788353489,"[{""id"": ""{CA0D5007-5093-49E0-93EF-2795215D8AC9}"", ""name"": ""start_residual_vol"", ""variable_name"": ""start_residual_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{AEBEB159-5F0F-491B-8723-005E9F82E2EB}"", ""name"": ""array_vol"", ""variable_name"": ""array_vol"", ""type"": ""volume"", ""array"": true, ""expression"": """"}, {""id"": ""{2A29E674-C56E-493D-AE1B-C911BC30A6FD}"", ""name"": ""start_idx"", ""variable_name"": ""start_idx"", ""type"": ""integer"", ""array"": false, ""expression"": """"}, {""id"": ""{082EE59C-D0B9-460A-9200-8B3DD5810C9B}"", ""name"": ""syringe_vol"", ""variable_name"": ""syringe_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{53640CAA-E302-4B99-ABE4-28E340228277}"", ""name"": ""max_idx"", ""variable_name"": ""max_idx"", ""type"": ""integer"", ""array"": false, ""expression"": """"}, {""id"": ""{124299F3-FFF3-413D-990B-F66E7D1732C0}"", ""name"": ""airgap_vol"", ""variable_name"": ""airgap_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{D3BE0EF4-5870-4C74-8DBF-4EC930B7E5AE}"", ""name"": ""safe_vol"", ""variable_name"": ""safe_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{5589D4FA-92D3-4E50-9EAF-A0864A11E486}"", ""name"": ""extra_vol"", ""variable_name"": ""extra_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}]","[{""id"": ""{5CFDCD5E-52EB-4E0C-AA61-BCF50B3CC27F}"", ""name"": ""next_idx"", ""variable_name"": ""next_idx"", ""type"": ""integer"", ""array"": false, ""expression"": """"}, {""id"": ""{D557175F-8AA7-4FF3-B5B8-1C504947EC8E}"", ""name"": ""end_dispense_vol"", ""variable_name"": ""end_dispense_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{512A918F-149F-49FC-97F0-D62A92FDE849}"", ""name"": ""next_residual_vol"", ""variable_name"": ""next_residual_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{10DD2E95-8F4F-4158-85B3-61821D129FC4}"", ""name"": ""aspirate_vol"", ""variable_name"": ""aspirate_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{59B38CAC-E091-4ADF-976A-8D220CA04653}"", ""name"": ""end_idx"", ""variable_name"": ""end_idx"", ""type"": ""integer"", ""array"": false, ""expression"": """"}]"
32,Throw Error,Chemspeed.SATaskFunctionDefinition.1,,{05B2984D-BC3F-45CB-8A02-D3E5BF5ABC4B},1787876614,"[{""id"": ""{BFF25E17-0D98-4F71-B8B0-2C7EA8B4BDD3}"", ""name"": ""source_func_txt"", ""variable_name"": ""source_func_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}, {""id"": ""{1442921E-18AC-455A-A1AB-34FD4E0417C5}"", ""name"": ""error_code_int"", ""variable_name"": ""error_code_int"", ""type"": ""integer"", ""array"": false, ""expression"": """"}, {""id"": ""{490EB9AD-0F69-4DDE-8561-F082250C52F4}"", ""name"": ""message_txt"", ""variable_name"": ""message_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}]",[]
33,Get Parent Element Name,Chemspeed.SATaskFunctionDefinition.1,,{F7AD817E-D46D-4CD6-89FE-CF0BF115B2C7},1787877115,"[{""id"": ""{5EEFD3C4-7FB3-406E-A8F3-185817AE5A03}"", ""name"": ""input_zone"", ""variable_name"": ""input_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}]","[{""id"": ""{52EFC9FC-90E6-41C7-9866-F2BFCB1103A6}"", ""name"": ""parent_element_name_txt"", ""variable_name"": ""parent_element_name_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}]"
34,Get Single Well ID,Chemspeed.SATaskFunctionDefinition.1,,{E86925F4-5792-4F78-91CF-8E2F862D93A9},1787877310,"[{""id"": ""{6072B256-78DE-4571-9AA0-B07B77F8DD7F}"", ""name"": ""well_zone"", ""variable_name"": ""well_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}]","[{""id"": ""{85357196-C0DE-4664-AA88-9C706E37D5CB}"", ""name"": ""well_id_int"", ""variable_name"": ""well_id_int"", ""type"": ""integer"", ""array"": false, ""expression"": """"}]"
35,Get ISynth Drawer Index,Chemspeed.SATaskFunctionDefinition.1,,{E4913D91-7862-4BB1-8EA5-0CF2D3828384},1787877593,"[{""id"": ""{A0A8B7DD-6F46-4C1B-BDB8-C50552CC394A}"", ""name"": ""well_zone"", ""variable_name"": ""well_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}]","[{""id"": ""{C96DDBE1-F4EF-4C4C-A5B4-AD58AF1CAE34}"", ""name"": ""drawer_idx"", ""variable_name"": ""drawer_idx"", ""type"": ""integer"", ""array"": false, ""expression"": """"}]"
36,Check Well Interlock,Chemspeed.SATaskFunctionDefinition.1,,{FABCE8C0-BC2D-4108-BC1B-5F463ACE0317},1787883940,"[{""id"": ""{2F30306D-E928-4BBC-88C1-4A07506813E1}"", ""name"": ""well_zone"", ""variable_name"": ""well_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}]","[{""id"": ""{381D035B-1049-4B7B-B695-9674AA303329}"", ""name"": ""is_safe"", ""variable_name"": ""is_safe"", ""type"": ""bool"", ""array"": false, ""expression"": """"}]"
