index,name,typeid,eventtype,id,edittime,inputs,outputs
37,Aspirate From Source,Chemspeed.SATaskFunctionDefinition.1,,{718A5C44-CF4E-4560-8548-B2CF885F8DE4},1788228477,"[{""id"": ""{7A084611-4E3D-4D82-A4DA-C30FBF8309BA}"", ""name"": ""airgap_vol"", ""variable_name"": ""airgap_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{5A1F1913-AD6B-4B7F-8A4A-2A80DAFD6E84}"", ""name"": ""source_zone"", ""variable_name"": ""source_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}, {""id"": ""{E0048943-1DD7-4AF9-9940-67D05C07BD56}"", ""name"": ""ch3_vol"", ""variable_name"": ""ch3_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{A42CD65E-891D-4246-AF02-6E332CBA0C3B}"", ""name"": ""ch4_vol"", ""variable_name"": ""ch4_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{2B66FC6E-7371-466B-8422-44763F659651}"", ""name"": ""ch2_vol"", ""variable_name"": ""ch2_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{84D2EDA1-9BBF-4ED0-BA10-80BE0576276B}"", ""name"": ""ch1_vol"", ""variable_name"": ""ch1_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{59F1C9EE-291B-4B0A-B5B8-C5E69E045D3C}"", ""name"": ""source_zone_txt"", ""variable_name"": ""source_zone_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}]",[]
38,_Aspirate,Chemspeed.SATaskFunctionDefinition.1,,{374DF68E-9169-419F-A6FC-62A318347C5C},1788140053,"[{""id"": ""{41F93D40-A905-4BFC-9697-9DC65C28D200}"", ""name"": ""source_zone_txt"", ""variable_name"": ""source_zone_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}, {""id"": ""{D9347A51-108B-4C90-9A18-89636253DDBE}"", ""name"": ""ch4_vol"", ""variable_name"": ""ch4_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{D6D0A563-DA7D-4138-9E96-D8B95CC389FF}"", ""name"": ""source_zone"", ""variable_name"": ""source_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}, {""id"": ""{A935D6A6-356B-4533-AE95-FCC46878A660}"", ""name"": ""ch3_vol"", ""variable_name"": ""ch3_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{F41CA7B9-C754-4709-93A9-9CF9F95F093C}"", ""name"": ""ch2_vol"", ""variable_name"": ""ch2_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{510B44C8-73F5-4F3C-8D0B-7B58E7B4A17C}"", ""name"": ""airgap_vol"", ""variable_name"": ""airgap_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{7B1293D5-C32F-4BBA-B403-2A215B105FBF}"", ""name"": ""ch1_vol"", ""variable_name"": ""ch1_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}]",[]
39,_Dispense,Chemspeed.SATaskFunctionDefinition.1,,{7D0AD58C-1C98-47C5-AC69-CD9460D372C3},1788230606,"[{""id"": ""{3E9E6136-7F6B-4330-B7E6-3A5E247B217F}"", ""name"": ""dispense_zone"", ""variable_name"": ""dispense_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}, {""id"": ""{A665CB61-2E1B-4AD3-A0E9-481DCE4CA31A}"", ""name"": ""ch4_vol"", ""variable_name"": ""ch4_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{0AC9F26F-5BD9-4107-88A6-47DE3ACF0DD0}"", ""name"": ""ch3_vol"", ""variable_name"": ""ch3_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{D101FADD-7B6D-4AF4-B83D-23921E326A03}"", ""name"": ""ch1_vol"", ""variable_name"": ""ch1_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{017A38EA-3910-41E4-AD2D-E529813E497F}"", ""name"": ""ch2_vol"", ""variable_name"": ""ch2_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}]",[]
40,Dispense To Destination,Chemspeed.SATaskFunctionDefinition.1,,{2C04EDD2-CFF7-4636-88DB-240DA51711A2},1788230450,"[{""id"": ""{68861319-561B-4CC9-B105-8C36908DEB9D}"", ""name"": ""dispense_zone"", ""variable_name"": ""dispense_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}, {""id"": ""{FD00F25A-FF56-44AA-A614-2D3DF3DB5D16}"", ""name"": ""ch1_vol"", ""variable_name"": ""ch1_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{301A0393-9DD7-40BE-8518-060ECF0F2056}"", ""name"": ""ch2_vol"", ""variable_name"": ""ch2_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{7A5BFA99-0DD4-43AD-AE5E-8D1C9C35AD16}"", ""name"": ""ch3_vol"", ""variable_name"": ""ch3_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{CD3F93B8-8019-4993-8179-5A1C04C245F3}"", ""name"": ""ch4_vol"", ""variable_name"": ""ch4_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}]",[]
41,Set ISynth Drawer Valve,Chemspeed.SATaskFunctionDefinition.1,,{7E76D1F5-D34C-4B6C-ADB1-1B117B2A3E73},1787899749,"[{""id"": ""{EE269FA5-C8E2-48F7-9B96-394FA50C289E}"", ""name"": ""mode_txt"", ""variable_name"": ""mode_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}, {""id"": ""{767EACCA-7419-46B4-968A-3D6951BA6E2E}"", ""name"": ""reactor_zone"", ""variable_name"": ""reactor_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}]",[]
42,Dispense Chunk,Chemspeed.SATaskFunctionDefinition.1,,{8B7809ED-EF34-400E-A0A9-EFCB54162DA2},1788237251,"[{""id"": ""{3B7CD913-08E7-47E6-88EF-108DC40ADE7A}"", ""name"": ""end_dispense_vol"", ""variable_name"": ""end_dispense_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{3A3E812D-F9C1-4DC6-BF5B-35EFF4E332F3}"", ""name"": ""dispense_zone"", ""variable_name"": ""dispense_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}, {""id"": ""{CF0DAB43-BEBA-49E3-B853-F0646CD44DA4}"", ""name"": ""array_vol"", ""variable_name"": ""array_vol"", ""type"": ""volume"", ""array"": true, ""expression"": """"}, {""id"": ""{1973A17D-18AD-4B53-9A97-F471E0479409}"", ""name"": ""end_idx"", ""variable_name"": ""end_idx"", ""type"": ""integer"", ""array"": false, ""expression"": """"}, {""id"": ""{4C27CF9E-C91C-4D0B-A7B2-F95AE874004A}"", ""name"": ""start_idx"", ""variable_name"": ""start_idx"", ""type"": ""integer"", ""array"": false, ""expression"": """"}, {""id"": ""{4EB7F9AA-500C-4FA0-8BA4-22DA14F282FA}"", ""name"": ""start_residual_vol"", ""variable_name"": ""start_residual_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{F4B540E7-57A2-477B-93C7-55CFE0C4B665}"", ""name"": ""syringe_ch"", ""variable_name"": ""syringe_ch"", ""type"": ""integer"", ""array"": false, ""expression"": """"}]",[]
43,Get Well Zone With Index,Chemspeed.SATaskFunctionDefinition.1,,{6086071D-452C-4B4F-BDE6-91BBDD62E23A},1787903653,"[{""id"": ""{C3E3DA85-E02B-4D29-A2CB-3151AEDB625D}"", ""name"": ""well_idx"", ""variable_name"": ""well_idx"", ""type"": ""integer"", ""array"": false, ""expression"": """"}, {""id"": ""{FAB5C7D5-0C30-45E0-B7AF-FA2B7B122FA0}"", ""name"": ""multi_zone"", ""variable_name"": ""multi_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}]","[{""id"": ""{2FD32304-F772-4241-AF38-F3870C78C739}"", ""name"": ""well_zone"", ""variable_name"": ""well_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}]"
44,Set ISynth Drawer State,Chemspeed.SATaskFunctionDefinition.1,,{CE003A2E-D4CA-4676-84F9-B1AB60D482F3},1787948268,"[{""id"": ""{A05CF205-DFE5-4060-ACA4-A89D11068D1F}"", ""name"": ""mode_txt"", ""variable_name"": ""mode_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}, {""id"": ""{B6B0BA4D-7219-4E03-BCD1-8FB46DD3C7BA}"", ""name"": ""reactor_zone"", ""variable_name"": ""reactor_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}]",[]
45,Write Well Log,Chemspeed.SATaskFunctionDefinition.1,,{F76E9D50-1DDB-46DD-8D0B-EDFD60AA5D17},1787950379,"[{""id"": ""{602F9E3C-BB26-4ABE-997C-9236C5DC017E}"", ""name"": ""well_zone"", ""variable_name"": ""well_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}, {""id"": ""{393450F9-9002-40A5-83C2-574A827D8BAD}"", ""name"": ""log_txt"", ""variable_name"": ""log_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}]",[]
46,Export Wells Log,Chemspeed.SATaskFunctionDefinition.1,,{C97B9934-BD87-4111-AA18-BC983E583B19},1788333590,"[{""id"": ""{776A364B-26B8-4E48-984B-FE473E938409}"", ""name"": ""directory_path_txt"", ""variable_name"": ""directory_path_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}, {""id"": ""{D300A2F8-7DF0-47AF-AD0D-BDC941BA7413}"", ""name"": ""wells_zone"", ""variable_name"": ""wells_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}]","[{""id"": ""{A77A9E39-DFF1-41B9-85CC-0B8CAB6DBC9C}"", ""name"": ""stdio_int"", ""variable_name"": ""stdio_int"", ""type"": ""integer"", ""array"": false, ""expression"": """"}]"
47,Report Error,Chemspeed.SATaskFunctionDefinition.1,,{0B90EA8D-F12D-4911-B6C3-6B62E91BAC9B},1788224060,[],[]
48,Zone Resolv,Chemspeed.SATaskFunctionDefinition.1,,{1769AFEC-A51E-4024-BEE9-FEFB4E863C4D},1788224123,"[{""id"": ""{6B0920C6-FFD1-4E87-924A-2159F6CA2803}"", ""name"": ""zone_name_txt"", ""variable_name"": ""zone_name_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}]","[{""id"": ""{B0F4AB0E-6C16-435D-B717-24F096544A5D}"", ""name"": ""resolved_zone"", ""variable_name"": ""resolved_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}]"
49,Syringe Capasity,Chemspeed.SATaskFunctionDefinition.1,,{7F0E9267-EBD8-48A8-A6BA-ADED13DD2F2A},1788226316,"[{""id"": ""{43112858-2A97-4008-AA1C-4DD97C79B5AF}"", ""name"": ""syringe_ch"", ""variable_name"": ""syringe_ch"", ""type"": ""integer"", ""array"": false, ""expression"": """"}]","[{""id"": ""{C7981097-9484-4A44-A6FC-4B097E97603B}"", ""name"": ""syringe_vol"", ""variable_name"": ""syringe_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}]"
50,Label sample ID,Chemspeed.SATaskFunctionDefinition.1,,{D5036F17-9117-4B7C-A0E5-3EBD655A93C8},1788853233,"[{""id"": ""{602F9E3C-BB26-4ABE-997C-9236C5DC017E}"", ""name"": ""well_zone"", ""variable_name"": ""well_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}, {""id"": ""{393450F9-9002-40A5-83C2-574A827D8BAD}"", ""name"": ""id_txt"", ""variable_name"": ""id_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}]",[]
51,Non Zero Array Min,Chemspeed.SATaskFunctionDefinition.1,,{169BD6D7-FB46-4CA1-9529-18EE451134F5},1788927885,"[{""id"": ""{8B9D3213-916D-4D93-B614-C6043DEA58FA}"", ""name"": ""array_vol"", ""variable_name"": ""array_vol"", ""type"": ""volume"", ""array"": true, ""expression"": """"}]","[{""id"": ""{69A3240C-FE31-4A46-8656-9FEF61616D33}"", ""name"": ""min_vol"", ""variable_name"": ""min_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}]"
